pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
1.02476,0.301629;10.0,0.197938,0.1,0.365612,0.357483,3.22794,0.1,1.13637,10.0,2.02325
1.02651,0.300488;10.0,0.690876,10.0,0.1,3.77328,0.1,1.35788,10.0,10.0,0.1
1.03304,0.304166;10.0,0.174787,0.1,0.129422,0.521445,6.89173,0.76552,0.121114,10.0,0.725362
1.0369,0.304103;10.0,0.1,0.331582,0.1,0.18666,5.41011,0.1,0.1,7.04587,0.531119
1.04304,0.30463;10.0,0.1,0.139414,4.37369,0.232677,3.22712,0.422103,0.118864,4.18075,0.1
1.04911,0.30353;10.0,0.594027,0.804235,8.37352,0.175309,1.32058,10.0,10.0,10.0,0.1
1.05032,0.301751;6.90677,0.956715,10.0,0.1,3.77328,0.104864,0.389373,10.0,10.0,0.392368
1.0556,0.304302;10.0,0.155829,0.1,0.633016,0.1,6.89869,0.1,0.1,10.0,0.149224
1.06242,0.299967;0.270037,0.1,0.1,0.1,10.0,10.0,0.1,10.0,10.0,0.1
1.0655,0.30204;10.0,0.517168,0.1,3.07129,6.17515,10.0,0.1,0.652973,10.0,0.1
1.07419,0.301342;7.69324,7.44221,0.399461,4.63778,0.1,0.641747,3.91902,10.0,10.0,9.88487
1.07866,0.30067;8.80796,0.742405,0.1,0.507976,10.0,1.59228,0.1,10.0,10.0,0.1
1.08382,0.301064;0.288874,0.162593,0.742651,1.82934,1.52664,6.89869,4.11232,3.21216,10.0,0.149224
1.08852,0.301289;10.0,1.74952,2.23709,7.4504,3.5337,10.0,0.1,0.141541,10.0,0.795548
1.09085,0.303447;1.95447,0.1,0.1,0.404281,0.1,0.22976,0.1,3.24251,8.44712,0.3153
1.09913,0.303008;3.18124,0.1,0.590612,2.7751,0.631898,0.199255,0.140514,4.55433,9.43695,0.1
1.10076,0.304794;3.18124,0.1,0.590612,2.7751,0.631898,0.371832,0.1,4.55433,10.0,0.1
1.11004,0.302547;10.0,0.70768,2.8655,0.1,0.243007,10.0,0.483231,0.1,10.0,0.183812
1.11478,0.300929;10.0,0.721367,2.8655,0.1,0.191194,10.0,0.519763,0.1,10.0,0.175252
