pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en,fd,fn,gd,gn
1.23819,0.300943;2.35465,0.32174,7.71943,0.797213,0.1,10.0,0.1,0.1,10.0,7.35943,5.35672,0.1,10.0,0.109357
1.24028,0.303803;0.500218,0.1,0.288716,0.1,10.0,0.460396,0.1,10.0,0.1,1.51348,0.1,0.132378,10.0,0.1
1.24963,0.301566;10.0,3.10287,0.1,10.0,10.0,10.0,0.1,3.95876,2.53513,0.413018,0.341297,10.0,10.0,0.251563
1.24975,0.304861;10.0,0.1,10.0,5.41489,0.1,0.1,1.9082,10.0,0.932316,0.633966,0.717719,0.1,10.0,0.1
1.25527,0.300657;10.0,0.1,10.0,5.41489,0.1,0.1,1.9082,10.0,0.1,0.1,0.717719,0.1,10.0,0.1
1.26055,0.305177;10.0,0.85052,4.8074,0.485046,0.298939,10.0,0.1,0.202538,0.1,0.1,0.323512,0.1,10.0,0.1
1.26812,0.302026;0.454389,0.125706,0.468351,0.16099,10.0,0.178086,0.1,10.0,0.886654,2.6355,0.472359,0.1,10.0,0.509413
1.27148,0.304088;0.165022,0.247613,0.199254,2.92548,0.1,5.11308,10.0,0.1,0.1,0.1,0.1,0.1,6.49851,0.1
1.2764,0.302812;0.108898,0.1,0.1,0.1,5.59596,10.0,0.143001,5.97077,10.0,10.0,0.161146,10.0,10.0,3.35913
1.28438,0.300147;0.1,0.1,0.1,0.1,0.703126,3.48428,3.10346,0.1,0.1,0.1,0.1,0.178424,0.1,0.1
1.28874,0.299934;10.0,0.356633,10.0,5.41489,0.1,1.37255,1.9082,10.0,0.746427,0.1,0.717719,0.1,10.0,0.1
1.29355,0.300913;1.54921,0.1,0.1,1.59121,0.1,0.135174,0.1,0.1,10.0,10.0,10.0,1.60358,6.63048,0.1
1.29658,0.302454;10.0,0.169735,0.101405,5.56682,0.1,0.1,0.120073,0.1,1.2998,3.09938,0.1,0.1,10.0,2.4286
1.30461,0.303826;10.0,1.09914,10.0,2.63416,9.44716,4.04019,10.0,5.10553,0.703068,0.118084,0.1,10.0,10.0,0.1
1.30588,0.301573;0.315159,0.345131,0.101658,1.10368,0.171635,0.856992,0.223491,0.47131,0.140743,0.1,7.72815,4.80312,0.1,0.203498
1.31307,0.300764;8.57135,3.74553,0.1,1.71653,1.99901,10.0,0.260216,0.138341,0.420305,0.1,10.0,1.89864,0.1,0.1
1.31683,0.304308;0.978303,0.190887,0.1,0.290637,2.4868,4.9709,0.1,0.1,10.0,3.36893,0.1,0.1,8.72955,0.1
1.32468,0.303067;10.0,1.3614,0.697453,0.1,1.49335,0.1,0.1,10.0,0.552228,0.212546,5.54599,0.1,10.0,0.1
